link,sex
https://www.tfrrs.org/athletes/2216710/New_Hampshire/Renrick_Pesce.html,m
https://www.tfrrs.org/athletes/2768848/Maine/Matthew_Toothaker.html,m
https://www.tfrrs.org/athletes/3269884/Maine/James_Rutter.html,m
https://www.tfrrs.org/athletes/2227335/Maine/Brian_Martel.html,m
https://www.tfrrs.org/athletes/2263647/Central_Missouri/Lindsay_Lettow.html,w
https://www.tfrrs.org/athletes/2277000/Doane/Kayti_Mark.html,w
https://www.tfrrs.org/athletes/2263648/Central_Missouri/Angela_Selby.html,w
https://www.tfrrs.org/athletes/2759872/NW_Missouri/Adrienne_Cornelius.html,w
https://www.tfrrs.org/athletes/3279190/Doane/Courtney_Richards.html,w
https://www.tfrrs.org/athletes/2729612/Doane/Jillian__Ourada.html,w
https://www.tfrrs.org/athletes/3256912/Central_Missouri/Zoe_Sharplin.html,w
https://www.tfrrs.org/athletes/3279191/Doane/Sara_Bloom.html,w
https://www.tfrrs.org/athletes/1876277/Central_Missouri/Jenna_Schmidt.html,w
https://www.tfrrs.org/athletes/2759866/NW_Missouri/Zeke_Winans.html,m
https://www.tfrrs.org/athletes/2263664/Central_Missouri/Brent_Vogel.html,m
https://www.tfrrs.org/athletes/2783013/Doane/Rob_Keeney.html,m
https://www.tfrrs.org/athletes/3170823/NW_Missouri/Robert_Courtney.html,m
https://www.tfrrs.org/athletes/2743674/Central_Missouri/Connor_Coleman.html,m
https://www.tfrrs.org/athletes/2263666/Central_Missouri/Shawn_Boss.html,m
https://www.tfrrs.org/athletes/2759864/NW_Missouri/Seth_Staashelm.html,m
https://www.tfrrs.org/athletes/3256909/Central_Missouri/Ethan_Warren.html,m
https://www.tfrrs.org/athletes/2771439/Doane/Brad_Higgins.html,m
https://www.tfrrs.org/athletes/3170826/NW_Missouri/Logann_Halloran.html,m
https://www.tfrrs.org/athletes/1876019/Central_Missouri/Alex_Lohman.html,m
https://www.tfrrs.org/athletes/2771440/Doane/Dustin_Schwartz.html,m
https://www.tfrrs.org/athletes/3256888/Central_Missouri/George_Charalambous.html,m
https://www.tfrrs.org/athletes/2748167/Nebraska_Kearney/Jena_Isaacson.html,w
https://www.tfrrs.org/athletes/4181887/Chadron_State/Michaela_Odenbaugh.html,w
https://www.tfrrs.org/athletes/2754989/Chadron_State/Stacee_Craig.html,w
https://www.tfrrs.org/athletes/2755001/Chadron_State/Erin_Krause.html,w
https://www.tfrrs.org/athletes/2755020/Chadron_State/Sean_Munger.html,m
https://www.tfrrs.org/athletes/2748219/Nebraska_Kearney/Bryson_Mahlberg.html,m
https://www.tfrrs.org/athletes/2748903/Wayne_St_NE/Paige_Pollard.html,w
https://www.tfrrs.org/athletes/3264990/Augustana_SD/Katie_Guse.html,w
https://www.tfrrs.org/athletes/3264996/Augustana_SD/Anne_Parsley.html,w
