link,sex
https://www.tfrrs.org/athletes/3322867/Willamette/Rebekah_Daniel.html,m
https://www.tfrrs.org/athletes/3784572/Pacific_Lutheran/Hannah_Walton.html,m
https://www.tfrrs.org/athletes/2268779/Willamette/Brandi_Miller.html,m
https://www.tfrrs.org/athletes/1780061/Pacific_OR/Nicole__Smith.html,m
https://www.tfrrs.org/athletes/3784571/Pacific_Lutheran/Elizabeth_Tapler.html,m
https://www.tfrrs.org/athletes/3269920/Puget_Sound/Joe_Cerne.html,m
https://www.tfrrs.org/athletes/3278618/Whitworth/Stephen_Cooper.html,m
https://www.tfrrs.org/athletes/3785049/Willamette/Carson_Kennedy.html,m
https://www.tfrrs.org/athletes/3278627/Whitworth/Luke_Mathews.html,m
https://www.tfrrs.org/athletes/3329262/Linfield/Michael_Madden.html,m
https://www.tfrrs.org/athletes/2378127/Pacific_Lutheran/Barrett_Bollen.html,m
https://www.tfrrs.org/athletes/3316101/Pacific_OR/Aaron_Koford.html,m
https://www.tfrrs.org/athletes/2776882/Puget_Sound/Myles_McDonald.html,m
https://www.tfrrs.org/athletes/2268798/Willamette/Spencer_Clemmer.html,m
https://www.tfrrs.org/athletes/3830002/George_Fox/Mitchell_Rettman.html,m
https://www.tfrrs.org/athletes/3247625/Bowdoin/Eliot_Bass.html,m
https://www.tfrrs.org/athletes/2741813/Cornell/Erin_McKee.html,m
https://www.tfrrs.org/athletes/3722026/Ithaca/Leigh_Martino.html,m
https://www.tfrrs.org/athletes/3264448/Ithaca/Rachel__Brown.html,m
https://www.tfrrs.org/athletes/3771309/Cortland_St/Taylor_Hudson.html,m
https://www.tfrrs.org/athletes/3651387/Cortland_St/Gina_Campagna.html,m
https://www.tfrrs.org/athletes/2758449/Cortland_St/Nicole_Schafer.html,m
https://www.tfrrs.org/athletes/3722024/Ithaca/Brittany_Leafe.html,m
https://www.tfrrs.org/athletes/3731501/Cornell/Shannon_Daniels.html,m
https://www.tfrrs.org/athletes/2243772/Cornell/Karen_Schillinger.html,m
https://www.tfrrs.org/athletes/3318394/Cornell/Chris_Ryan.html,m
https://www.tfrrs.org/athletes/2235613/Cornell/Nick_Huber.html,m
https://www.tfrrs.org/athletes/3262470/Cornell/Mike_Rabbitt.html,m
https://www.tfrrs.org/athletes/3719287/Cornell/Nick_Athanasopoulos.html,m
https://www.tfrrs.org/athletes/2834889/Cortland_St/Robert_Brower.html,m
https://www.tfrrs.org/athletes/2235606/Cornell/Josh_Cusick.html,m
https://www.tfrrs.org/athletes/3727221/Utica/Jeff_Shuder.html,m
https://www.tfrrs.org/athletes/3262610/Cobleskill/Grantley_Mcleod.html,m
https://www.tfrrs.org/athletes/3262606/Cobleskill/Taylor_Drake.html,m
https://www.tfrrs.org/athletes/2750739/Binghamton/Adam_Helman.html,m
https://www.tfrrs.org/athletes/2235609/Cornell/Vince_Formica.html,m
https://www.tfrrs.org/athletes/2810768/Marietta/Kristeva_Rowe.html,m
https://www.tfrrs.org/athletes/3769107/Elon/Louise_Prevoteau.html,m
https://www.tfrrs.org/athletes/2340127/Marietta/Ashley_Bault.html,m
https://www.tfrrs.org/athletes/3717101/Shorter/Porsche_Holden.html,m
https://www.tfrrs.org/athletes/2224414/Liberty/Christina_Mitchell.html,m
